name,username,email,email_verified_at,password,role,phone,province,is_verified,remember_token,two_factor_secret,two_factor_recovery_codes,two_factor_confirmed_at
Fake User 1,user1,user1@example.com,2025-01-01 12:00:00,password,admin,123-456-0001,Phuket,true,,,,
Fake User 2,user2,user2@example.com,2025-01-01 12:00:00,password,admin,123-456-0002,Phuket,true,,,,
Fake User 3,user3,user3@example.com,2025-01-01 12:00:00,password,admin,123-456-0003,Phuket,true,,,,
Fake User 4,user4,user4@example.com,2025-01-01 12:00:00,password,user,123-456-0004,Chiang Mai,false,,,,
Fake User 5,user5,user5@example.com,2025-01-01 12:00:00,password,admin,123-456-0005,Chiang Mai,false,,,,
Fake User 6,user6,user6@example.com,2025-01-01 12:00:00,password,admin,123-456-0006,Bangkok,false,,,,
Fake User 7,user7,user7@example.com,2025-01-01 12:00:00,password,admin,123-456-0007,Phuket,false,,,,
Fake User 8,user8,user8@example.com,2025-01-01 12:00:00,password,admin,123-456-0008,Chiang Mai,false,,,,
Fake User 9,user9,user9@example.com,2025-01-01 12:00:00,password,user,123-456-0009,Bangkok,false,,,,
Fake User 10,user10,user10@example.com,2025-01-01 12:00:00,password,admin,123-456-0010,Chiang Mai,true,,,,
Fake User 11,user11,user11@example.com,2025-01-01 12:00:00,password,admin,123-456-0011,Phuket,false,,,,
Fake User 12,user12,user12@example.com,2025-01-01 12:00:00,password,user,123-456-0012,Chiang Mai,false,,,,
Fake User 13,user13,user13@example.com,2025-01-01 12:00:00,password,user,123-456-0013,Phuket,false,,,,
Fake User 14,user14,user14@example.com,2025-01-01 12:00:00,password,admin,123-456-0014,Chiang Mai,false,,,,
Fake User 15,user15,user15@example.com,2025-01-01 12:00:00,password,admin,123-456-0015,Chiang Mai,true,,,,
Fake User 16,user16,user16@example.com,2025-01-01 12:00:00,password,user,123-456-0016,Chiang Mai,false,,,,
Fake User 17,user17,user17@example.com,2025-01-01 12:00:00,password,admin,123-456-0017,Bangkok,false,,,,
Fake User 18,user18,user18@example.com,2025-01-01 12:00:00,password,user,123-456-0018,Phuket,false,,,,
Fake User 19,user19,user19@example.com,2025-01-01 12:00:00,password,user,123-456-0019,Bangkok,true,,,,
Fake User 20,user20,user20@example.com,2025-01-01 12:00:00,password,user,123-456-0020,Phuket,false,,,,
Fake User 21,user21,user21@example.com,2025-01-01 12:00:00,password,admin,123-456-0021,Chiang Mai,false,,,,
Fake User 22,user22,user22@example.com,2025-01-01 12:00:00,password,admin,123-456-0022,Phuket,true,,,,
Fake User 23,user23,user23@example.com,2025-01-01 12:00:00,password,user,123-456-0023,Chiang Mai,false,,,,
Fake User 24,user24,user24@example.com,2025-01-01 12:00:00,password,user,123-456-0024,Chiang Mai,false,,,,
Fake User 25,user25,user25@example.com,2025-01-01 12:00:00,password,user,123-456-0025,Phuket,false,,,,
Fake User 26,user26,user26@example.com,2025-01-01 12:00:00,password,admin,123-456-0026,Bangkok,false,,,,
Fake User 27,user27,user27@example.com,2025-01-01 12:00:00,password,admin,123-456-0027,Chiang Mai,false,,,,
Fake User 28,user28,user28@example.com,2025-01-01 12:00:00,password,user,123-456-0028,Bangkok,false,,,,
Fake User 29,user29,user29@example.com,2025-01-01 12:00:00,password,user,123-456-0029,Chiang Mai,true,,,,
Fake User 30,user30,user30@example.com,2025-01-01 12:00:00,password,user,123-456-0030,Phuket,true,,,,
Fake User 31,user31,user31@example.com,2025-01-01 12:00:00,password,admin,123-456-0031,Bangkok,false,,,,
Fake User 32,user32,user32@example.com,2025-01-01 12:00:00,password,user,123-456-0032,Phuket,true,,,,
Fake User 33,user33,user33@example.com,2025-01-01 12:00:00,password,user,123-456-0033,Chiang Mai,true,,,,
Fake User 34,user34,user34@example.com,2025-01-01 12:00:00,password,user,123-456-0034,Bangkok,true,,,,
Fake User 35,user35,user35@example.com,2025-01-01 12:00:00,password,user,123-456-0035,Bangkok,true,,,,
Fake User 36,user36,user36@example.com,2025-01-01 12:00:00,password,user,123-456-0036,Phuket,true,,,,
Fake User 37,user37,user37@example.com,2025-01-01 12:00:00,password,user,123-456-0037,Phuket,true,,,,
Fake User 38,user38,user38@example.com,2025-01-01 12:00:00,password,admin,123-456-0038,Chiang Mai,false,,,,
Fake User 39,user39,user39@example.com,2025-01-01 12:00:00,password,user,123-456-0039,Chiang Mai,true,,,,
Fake User 40,user40,user40@example.com,2025-01-01 12:00:00,password,user,123-456-0040,Chiang Mai,true,,,,
Fake User 41,user41,user41@example.com,2025-01-01 12:00:00,password,user,123-456-0041,Phuket,false,,,,
Fake User 42,user42,user42@example.com,2025-01-01 12:00:00,password,admin,123-456-0042,Bangkok,false,,,,
Fake User 43,user43,user43@example.com,2025-01-01 12:00:00,password,user,123-456-0043,Chiang Mai,false,,,,
Fake User 44,user44,user44@example.com,2025-01-01 12:00:00,password,admin,123-456-0044,Phuket,true,,,,
Fake User 45,user45,user45@example.com,2025-01-01 12:00:00,password,user,123-456-0045,Chiang Mai,true,,,,
Fake User 46,user46,user46@example.com,2025-01-01 12:00:00,password,user,123-456-0046,Bangkok,true,,,,
Fake User 47,user47,user47@example.com,2025-01-01 12:00:00,password,user,123-456-0047,Bangkok,false,,,,
Fake User 48,user48,user48@example.com,2025-01-01 12:00:00,password,admin,123-456-0048,Bangkok,true,,,,
Fake User 49,user49,user49@example.com,2025-01-01 12:00:00,password,user,123-456-0049,Bangkok,true,,,,
Fake User 50,user50,user50@example.com,2025-01-01 12:00:00,password,admin,123-456-0050,Chiang Mai,false,,,,
